SN,ANLN1,ANLN2,AUFNR,AUGBL,AUGDT,BELNR,BSCHL,BTYPE,BUKRS,BUZEI,DMBTR,EBELN,EBELP,ETYPE,GJAHR,HBKID,HKONT,KOART,KOKRS,KOSTL,KTOSL,KUNNR,LIFNR,MATNR,MWSKZ,POSN2,PRCTR,SGTXT,SHKZG,UMSKZ,VBEL2,VBELN,VORGN,WERKS,XANET,XAUTO,XINVE,XOPVW,XSAUF,XSERG,XSKST,XSPRO,XUMAN,XUMSW,XZAHL
16,            ,    ,            ,          ,0,100000001,50,  ,1000,3,3369.56,          ,0,   ,2023,     ,499998,S,1000,4230,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
17,            ,    ,            ,          ,0,100000001,50,  ,1000,5,7.12,          ,0,   ,2023,     ,499998,S,1000,4220,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
18,            ,    ,            ,          ,0,100000001,50,  ,1000,7,1594.03,          ,0,   ,2023,     ,499998,S,1000,4220,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
19,            ,    ,            ,          ,0,100000001,50,  ,1000,9,3925.24,          ,0,   ,2023,     ,499998,S,1000,4220,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
20,            ,    ,            ,          ,0,100000001,50,  ,1000,11,11.13,          ,0,   ,2023,     ,499998,S,1000,4230,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
21,            ,    ,            ,          ,0,100000001,50,  ,1000,13,699.18,          ,0,   ,2023,     ,499998,S,1000,4230,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
22,            ,    ,            ,          ,0,100000001,50,  ,1198,2,200000,          ,0,   ,2022,     ,78200,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,Aumento de capital - Tarea 3 de la guía           ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
23,            ,    ,            ,          ,0,100000001,50,  ,1545,2,2000,          ,0,   ,2022,     ,24000000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,Provisión enero agua                              ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
24,            ,    ,            ,          ,0,100000002,40,  ,1000,1,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
25,            ,    ,            ,          ,0,100000002,40,  ,1198,2,200000,          ,0,   ,2022,     ,113100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
26,            ,    ,            ,          ,0,100000002,50,  ,1000,1,8.84,          ,0,   ,2023,     ,499998,S,1000,4230,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
27,            ,    ,            ,          ,0,100000002,50,  ,1000,2,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
28,            ,    ,            ,          ,0,100000002,50,  ,1000,3,796.44,          ,0,   ,2023,     ,499998,S,1000,4230,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
29,            ,    ,            ,          ,0,100000002,50,  ,1198,1,200000,          ,0,   ,2022,     ,78200,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
30,            ,    ,            ,          ,0,100000002,50,  ,1545,2,5000,          ,0,   ,2022,     ,41000000,S,1545,15450001,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
31,            ,    ,            ,          ,0,100000003,40,  ,1000,2,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,X
32,            ,    ,            ,          ,0,100000003,40,  ,1198,2,900,          ,0,   ,2022,     ,176000,S,1000,          ,   ,          ,          ,                  ,99,0,          ,compra material para reparar vehiculo             ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
33,            ,    ,            ,          ,0,100000003,40,  ,1198,3,144,          ,0,   ,2022,     ,154000,S,1000,          ,VST,          ,          ,                  ,99,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
34,            ,    ,            ,          ,0,100000003,40,  ,1545,1,5000,          ,0,   ,2022,     ,11001000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
35,            ,    ,            ,          ,0,100000003,50,  ,1000,1,61.28,          ,0,   ,2023,     ,499998,S,1000,4230,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
36,            ,    ,            ,          ,0,100000003,50,  ,1000,1,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,
37,            ,    ,            ,          ,0,100000004,31,  ,1198,1,3000,          ,0,   ,2022,     ,160000,K,1000,          ,   ,          ,LANDLORD  ,                  ,99,0,          ,Contabilizacion Arrendamiento                     ,H, ,          ,          ,RFBU,    , , , ,X, , , , , ,X,
38,            ,    ,            ,          ,0,100000004,40,  ,1000,1,57.47,          ,0,   ,2023,     ,230010,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,160000 - Valuation on 20230131                    ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
39,            ,    ,            ,          ,0,100000004,40,  ,1000,1,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
40,            ,    ,            ,          ,0,100000004,40,  ,1198,2,2586.21,          ,0,   ,2022,     ,10047000,S,1000,          ,   ,          ,          ,                  ,99,0,          ,Pago de arrendamiento                             ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
41,            ,    ,            ,          ,0,100000004,40,  ,1198,3,413.79,          ,0,   ,2022,     ,154000,S,1000,          ,VST,          ,          ,                  ,99,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
42,            ,    ,            ,          ,0,100000004,40,  ,1545,1,300,          ,0,   ,2022,     ,11001000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
43,            ,    ,            ,          ,0,100000004,50,  ,1000,2,57.47,          ,0,   ,2023,     ,161099,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,160000 - Valuation on 20230131                    ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
44,            ,    ,            ,          ,0,100000004,50,  ,1000,2,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
45,            ,    ,            ,          ,0,100000005,40,  ,1000,1,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
46,            ,    ,            ,          ,0,100000005,40,  ,1000,2,57.47,          ,0,   ,2023,     ,161099,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,160000 - Valuation on 20230131 Reverse            ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
47,            ,    ,            ,          ,0,100000005,40,  ,1198,2,8620.69,          ,0,   ,2022,     ,10047000,S,1000,          ,   ,          ,          ,                  ,99,0,          ,Sev. Contreleca 2022  al 2023                     ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
48,            ,    ,            ,          ,0,100000005,40,  ,1198,3,1379.31,          ,0,   ,2022,     ,154000,S,1000,          ,VST,          ,          ,                  ,99,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
49,            ,    ,            ,          ,0,100000005,50,  ,1000,1,57.47,          ,0,   ,2023,     ,230010,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,160000 - Valuation on 20230131 Reverse            ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
50,            ,    ,            ,          ,0,100000005,50,  ,1000,2,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
51,            ,    ,            ,          ,0,100000005,50,  ,1545,2,1300,          ,0,   ,2022,     ,11001000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
52,            ,    ,            ,          ,0,100000006,40,  ,1000,1,34380,          ,0,   ,2023,     ,99900,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
53,            ,    ,            ,          ,0,100000006,40,  ,1198,2,8620.69,          ,0,   ,2022,     ,10047000,S,1000,          ,   ,          ,          ,                  ,99,0,          ,Sev. Contreleca 2022  al 2023                     ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
54,            ,    ,            ,          ,0,100000006,40,  ,1198,3,1379.31,          ,0,   ,2022,     ,154000,S,1000,          ,VST,          ,          ,                  ,99,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
55,            ,    ,            ,          ,0,100000006,40,  ,1545,1,2000,          ,0,   ,2022,     ,11001000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
56,            ,    ,            ,          ,0,100000006,50,  ,1000,2,34380,          ,0,   ,2023,     ,179100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
57,            ,    ,            ,          ,0,100000007,40,  ,1198,2,8620.69,          ,0,   ,2022,     ,10047000,S,1000,          ,   ,          ,          ,                  ,99,0,          ,Sev. Contreleca 2022  al 2023                     ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
58,            ,    ,            ,          ,0,100000007,40,  ,1198,3,1379.31,          ,0,   ,2022,     ,154000,S,1000,          ,VST,          ,          ,                  ,99,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
59,            ,    ,            ,          ,0,100000007,50,  ,1000,1,5.11,          ,0,   ,2023,     ,499998,S,1000,4230,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
60,            ,    ,            ,          ,0,100000007,50,  ,1000,3,47.04,          ,0,   ,2023,     ,499998,S,1000,4280,   ,          ,          ,                  ,  ,0,1400,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
61,            ,    ,            ,          ,0,100000007,50,  ,1000,5,28,          ,0,   ,2023,     ,499998,S,1000,4280,   ,          ,          ,                  ,  ,0,1400,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
62,            ,    ,            ,          ,0,100000007,50,  ,1000,7,37.52,          ,0,   ,2023,     ,499998,S,1000,4220,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
63,            ,    ,            ,          ,0,100000007,50,  ,1000,9,114.67,          ,0,   ,2023,     ,499998,S,1000,4220,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
64,            ,    ,            ,          ,0,100000007,50,  ,1000,11,149.41,          ,0,   ,2023,     ,499998,S,1000,4220,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
65,            ,    ,            ,          ,0,100000007,50,  ,1545,2,6000,          ,0,   ,2022,     ,11001000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
66,            ,    ,            ,          ,0,100000008,40,  ,1000,2,110,          ,0,   ,2023,     ,800000,S,1000,          ,   ,          ,          ,T-FC0105          ,A1,0,9999,                                                  ,S, ,          ,          ,SD00,5, , , , , , , , , , ,X
67,            ,    ,            ,          ,0,100000008,40,  ,1000,3,16.5,          ,0,   ,2023,     ,175000,S,1000,          ,MWS,          ,          ,                  ,A1,0,          ,                                                  ,S, ,          ,          ,SD00,    , ,X, , , , , , , , ,X
68,            ,    ,            ,          ,0,100000008,40,  ,1198,2,1034.48,          ,0,   ,2022,     ,10047000,S,1000,VOLA      ,   ,          ,          ,                  ,99,0,1402,gastos de transporte mensual                      ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
69,            ,    ,            ,          ,0,100000008,40,  ,1198,3,165.52,          ,0,   ,2022,     ,154000,S,1000,          ,VST,          ,          ,                  ,99,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
70,            ,    ,            ,          ,0,100000008,40,  ,1545,1,3300,          ,0,   ,2022,     ,11001000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
71,            ,    ,            ,          ,0,100000009,40,  ,1198,2,1034.48,          ,0,   ,2022,     ,10047000,S,1000,VOLA      ,   ,          ,          ,                  ,99,0,1402,gastos de transporte mensual                      ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
72,            ,    ,            ,          ,0,100000009,40,  ,1198,3,165.52,          ,0,   ,2022,     ,154000,S,1000,          ,VST,          ,          ,                  ,99,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
73,            ,    ,            ,          ,0,100000009,50,  ,1000,1,14,          ,0,   ,2023,     ,499998,S,1000,4280,   ,          ,          ,                  ,  ,0,1400,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
74,            ,    ,            ,          ,0,100000009,50,  ,1545,2,3300,          ,0,   ,2022,     ,11001000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
75,            ,    ,            ,          ,0,100000010,40,  ,1000,2,1500,          ,0,   ,2023,     ,800000,S,1000,          ,   ,          ,          ,PTEST1            ,A1,0,9999,                                                  ,S, ,          ,          ,SD00,5, , , , , , , , , , ,X
76,            ,    ,            ,          ,0,100000010,40,  ,1000,3,435,          ,0,   ,2023,     ,175000,S,1000,          ,MWS,          ,          ,                  ,A1,0,          ,                                                  ,S, ,          ,          ,SD00,    , ,X, , , , , , , , ,X
77,            ,    ,            ,          ,0,100000010,40,  ,1000,4,1400,          ,0,   ,2023,     ,800000,S,1000,          ,   ,          ,          ,PTEST2            ,A1,0,9999,                                                  ,S, ,          ,          ,SD00,5, , , , , , , , , , ,X
78,            ,    ,            ,          ,0,100000010,40,  ,1198,2,3000,          ,0,   ,2022,     ,176000,S,1000,          ,   ,          ,          ,                  ,99,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
79,            ,    ,            ,          ,0,100000011,31,  ,1198,1,100,          ,0,   ,2022,     ,160000,K,1000,          ,   ,          ,LANDLORD  ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , ,X, , , , , ,X,
80,            ,    ,            ,          ,0,100000011,40,  ,1000,2,1500,          ,0,   ,2023,     ,800000,S,1000,          ,   ,          ,          ,PTEST1            ,A1,0,9999,                                                  ,S, ,          ,          ,SD00,5, , , , , , , , , , ,X
81,            ,    ,            ,          ,0,100000011,40,  ,1000,3,435,          ,0,   ,2023,     ,175000,S,1000,          ,MWS,          ,          ,                  ,A1,0,          ,                                                  ,S, ,          ,          ,SD00,    , ,X, , , , , , , , ,X
82,            ,    ,            ,          ,0,100000011,40,  ,1000,4,1400,          ,0,   ,2023,     ,800000,S,1000,          ,   ,          ,          ,PTEST2            ,A1,0,9999,                                                  ,S, ,          ,          ,SD00,5, , , , , , , , , , ,X
83,            ,    ,            ,          ,0,100000011,40,  ,1198,2,100,          ,0,   ,2022,     ,113100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
84,            ,    ,            ,          ,0,100000011,40,  ,1545,1,2000,          ,0,   ,2022,     ,24000000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
85,            ,    ,            ,          ,0,100000011,40,  ,1545,2,3300,          ,0,   ,2022,     ,24000000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
86,            ,    ,            ,          ,0,100000012,31,  ,1198,1,100,          ,0,   ,2022,     ,160000,K,1000,          ,   ,          ,900010,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , ,X, , , , , ,X,
87,            ,    ,            ,          ,0,100000012,40,  ,1000,1,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
88,            ,    ,            ,          ,0,100000012,40,  ,1000,2,59.95,          ,0,   ,2023,     ,800000,S,1000,          ,   ,          ,          ,DPC1009           ,  ,0,1500,                                                  ,S, ,          ,          ,SD00,1200, , , , , , , , , , ,X
89,            ,    ,            ,          ,0,100000012,40,  ,1198,2,100,          ,0,   ,2022,     ,161099,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
90,            ,    ,            ,          ,0,100000012,40,  ,1545,2,10600,          ,0,   ,2022,     ,24000000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
91,            ,    ,            ,          ,0,100000012,50,  ,1000,2,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
92,            ,    ,            ,          ,0,100000013,40,  ,1000,2,59.95,          ,0,   ,2023,     ,800000,S,1000,          ,   ,          ,          ,DPC1009           ,  ,0,1500,                                                  ,S, ,          ,          ,SD00,1200, , , , , , , , , , ,X
93,            ,    ,            ,          ,0,100000013,40,  ,1198,1,92.72,          ,0,   ,2022,     ,161099,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
94,            ,    ,            ,          ,0,100000013,50,  ,1198,2,92.72,          ,0,   ,2022,     ,161099,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
95,            ,    ,            ,          ,0,100000013,50,  ,1545,2,21200,          ,0,   ,2022,     ,24000000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
96,            ,    ,            ,          ,0,100000014,31,  ,1198,1,100,          ,0,   ,2022,     ,160000,K,1000,          ,   ,          ,900009,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , ,X, , , , , ,X,
97,            ,    ,            ,          ,0,100000014,40,  ,1198,2,100,          ,0,   ,2022,     ,161099,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
98,            ,    ,            ,          ,0,100000014,50,  ,1000,2,0.6,          ,0,   ,2023,     ,499999,S,1000,          ,   ,          ,          ,                  ,  ,0,9999,作業計画                                              ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
99,            ,    ,            ,          ,0,100000015,40,  ,1000,1,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,LINE 1                                            ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
100,            ,    ,            ,          ,0,100000015,40,  ,1000,4,1744.21,          ,0,   ,2023,     ,793000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,ORD 702664                                        ,S, ,          ,          ,KOAE,1000, , , , , , , , , , ,
101,            ,    ,            ,          ,0,100000015,50,  ,1000,2,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,LINE 2                                            ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
102,            ,    ,            ,          ,0,100000015,50,  ,1000,3,1744.21,          ,0,   ,2023,     ,893000,S,1000,          ,   ,          ,          ,                  ,  ,0,1010,ORD 702664                                        ,H, ,          ,          ,KOAE,1000, , , , , , , , , , ,X
103,            ,    ,            ,          ,0,100000015,50,  ,1198,2,600000,          ,0,   ,2022,     ,113102,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,COMPRA EDIFICIO                                   ,H, ,          ,          ,ZUGA,    , , , ,X, , , , , , ,X
104,            ,    ,            ,          ,0,100000015,50,  ,1545,2,300,          ,0,   ,2022,     ,24000000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,H, ,          ,          ,RFBU,    , , , ,X, , , , , , ,X
105,            ,    ,            ,          ,0,100000015,83,  ,1000,2,654.48,          ,0,   ,2023,     ,231500,S,1000,          ,PRD,          ,          ,R-F130            ,  ,0,1010,ORD 702664                                        ,S, ,          ,          ,KOAE,1000, , , , , , , , , , ,
106,            ,    ,            ,          ,0,100000016,40,  ,1000,1,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,LINE 1                                            ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
107,            ,    ,            ,          ,0,100000016,40,  ,1545,2,0,          ,0,   ,2022,     ,65008390,S,1545,15450001,KDF,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , ,X, , , , , , , , ,
108,            ,    ,            ,          ,0,100000016,50,  ,1000,1,1000,          ,0,   ,2023,     ,499998,S,1000,Z4230     ,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
109,            ,    ,            ,          ,0,100000016,50,  ,1000,2,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,LINE 2                                            ,H, ,          ,          ,RFBU,    , , , , , , , , , , ,X
110,            ,    ,            ,          ,0,100000016,50,  ,1198,2,6000,          ,0,   ,2022,     ,113102,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,compra Vehiculo para Yelinot                      ,H, ,          ,          ,ZUGA,    , , , ,X, , , , , , ,X
111,            ,    ,            ,          ,0,100000017,40,  ,1000,1,100,          ,0,   ,2022,     ,79100,S,1000,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , , , , , , , , ,
112,            ,    ,            ,          ,0,100000017,40,  ,1545,2,6000,          ,0,   ,2022,     ,24000000,S,1545,          ,   ,          ,          ,                  ,  ,0,          ,                                                  ,S, ,          ,          ,RFBU,    , , , ,X, , , , , , ,
113,            ,    ,            ,          ,0,100000017,50,  ,1000,1,500,          ,0,   ,2023,     ,499998,S,1000,Z4231     ,   ,          ,          ,                  ,  ,0,1010,                                                  ,H, ,          ,          ,COFI,    , , , , , , , , , , ,X
